sample_id,claim,label_orig,conf_orig,label_pert,conf_pert,shake_score,ground_truth,rationale_tokens,bfs,mbf_norm,mbf_k_star,mbf_K
41,"Area 51 serves the primary function of designing, testing, and developing advanced aircraft and weapons systems.",TRUE,0.5,FALSE,0.0,1.0,TRUE,designing testing developing advanced,1.0,1.0,1,4
42,The process of learning foreign languages does not cause an improvement in critical thinking.,FALSE,0.5,FALSE,0.0,-0.5,TRUE,learning foreign languages critical,0.0,0.0,0,4
43,It is a fact that not every resident of any given country loves anime.,TRUE,0.5,FALSE,0.0,1.0,TRUE,loves anime resident country,1.0,1.0,1,4
44,"In Australia, it is mandatory to hire a lawyer when one is being sued.",TRUE,0.5,FALSE,0.0,1.0,FALSE,australia mandatory hire lawyer,1.0,1.0,1,4
45,Providing a man with enough rope can result in him using the rope to tie an object.,TRUE,0.5,FALSE,0.0,1.0,TRUE,rope object tie,1.0,1.0,1,3
46,The 2032 U.S. Presidential Election has not occurred as of the current date.,TRUE,0.5,FALSE,0.0,1.0,TRUE,election presidential date,1.0,1.0,1,3
47,There are no laws that prohibit any actions towards the Canadian flag.,TRUE,0.5,FALSE,0.0,1.0,TRUE,laws canadian flag actions,1.0,1.0,1,4
48,"The total number of firearms is highest in India, China, Pakistan, and Canada, following the United States.",TRUE,0.5,FALSE,0.0,1.0,FALSE,india china pakistan canada,1.0,1.0,1,4
49,Going outdoors in cold weather with wet hair will result in feeling cold.,TRUE,0.5,FALSE,0.0,1.0,TRUE,cold weather wet hair,1.0,1.0,1,4
50,The number of annual international arrivals in New York City is lower than that of London.,TRUE,0.5,FALSE,0.0,1.0,TRUE,international arrivals london new,1.0,1.0,1,4
51,"A heart attack (myocardial infarction) and cardiac arrest (sudden cardiac failure) are not the same thing. While a heart attack is caused by a blockage in one or more of the coronary arteries that supply blood to the heart, causing part of the heart muscle to die, cardiac arrest occurs when the electrical activity of the heart becomes rapid or chaotic (ventricular fibrillation) or stops altogether, leading to loss of blood flow to the brain and other vital organs. Therefore, a heart attack can potentially lead to cardiac arrest, but they are not identical conditions.",TRUE,0.5,FALSE,0.0,1.0,FALSE,heart attack myocardial infarction,1.0,1.0,1,4
